scenario_id,scenario_name,current_registry_status,current_implementation_status,required_data_class,required_data_rationale,required_data_fields,implementation_evidence,missing_data_reason,recommended_action,priority
AB-01,Facilitation Payment,Registered,Unimplemented,E,"급행 수수료(뇌물) 판별을 위한 주관적 법적 검토, 현장 금고 물리 대조 및 출장 목적 정성 평가는 범위 외","expedite_service_invoices_text, customs_broker_contracts",N/A,해외 공무원 대상 소액 급행료(Facilitation Payment) 판별을 위한 주관적 법률 검토 영역,보류,HOLD
AB-02,Shadow Hiring,Registered,Unimplemented,B,"GL 외에 정치적 노출 인물(PEP) 명단, 고객 관계도, 출장 한도 규정 등 보조 마스터 정보 매핑 필요","consultant_agreements_text, pep_list_master, amount",N/A,보조 데이터 모델(정치적 노출 인물 - PEP 리스트 및 사외 자문 계약 원장) 부재,보조 마스터 데이터 매핑표 설계 및 업로드 기능 개발,P2
AB-03,Charitable Conduit,Registered,Unimplemented,B,GL 외에 임직원 특수관계 마스터 또는 단체 기부금/후원금 검증표 등 보조 설정 데이터 필요,"amount, related_parties_master, charity_representatives_registry",N/A,보조 데이터 모델(임직원 및 공직자 재단 관계 매핑 레지스트리) 부재,보조 마스터 데이터 매핑표 설계 및 업로드 기능 개발,P3
AB-04,Excessive Hospitality,Registered,Unimplemented,B,"GL 외에 정치적 노출 인물(PEP) 명단, 고객 관계도, 출장 한도 규정 등 보조 마스터 정보 매핑 필요","amount, attendees_count, travel_entertainment_policy_limits",N/A,보조 데이터 모델(인당 향응 한도 정보 및 고객 관계 매핑표) 부재,보조 마스터 데이터 매핑표 설계 및 업로드 기능 개발,P2
AB-05,Per Diem Abuse,Registered,Unimplemented,B,"GL 외에 정치적 노출 인물(PEP) 명단, 고객 관계도, 출장 한도 규정 등 보조 마스터 정보 매핑 필요","amount, employee_grade_travel_policy_limits",N/A,보조 데이터 모델(출장 여비 한도 규정 테이블) 부재,보조 마스터 데이터 매핑표 설계 및 업로드 기능 개발,P2
AB-06,Third-Party High Commission,Registered,Unimplemented,B,"GL 외에 정치적 노출 인물(PEP) 명단, 고객 관계도, 출장 한도 규정 등 보조 마스터 정보 매핑 필요","amount, sales_agent_contract_commission_rate_master",N/A,보조 데이터 모델(외부 대리점/에이전트 계약 요율표 마스터) 부재,보조 마스터 데이터 매핑표 설계 및 업로드 기능 개발,P2
AB-07,Political Contribution Masking,Registered,Unimplemented,B,GL 외에 임직원 특수관계 마스터 또는 단체 기부금/후원금 검증표 등 보조 설정 데이터 필요,"amount, sponsorship_policy_master, political_contributions_rules",N/A,보조 데이터 모델(기부금/후원금 화이트리스트 테이블) 부재,보조 마스터 데이터 매핑표 설계 및 업로드 기능 개발,P3
AB-08,Off-book Account,Registered,Unimplemented,E,"급행 수수료(뇌물) 판별을 위한 주관적 법적 검토, 현장 금고 물리 대조 및 출장 목적 정성 평가는 범위 외","petty_cash_receipts, cash_box_reconciliations",N/A,소액 현금 금고 장부 실물 대조 및 현장 부조리 감사를 위한 오프라인 실사 영역,보류,HOLD
AB-09,Success Fee Anomaly,Registered,Unimplemented,E,"급행 수수료(뇌물) 판별을 위한 주관적 법적 검토, 현장 금고 물리 대조 및 출장 목적 정성 평가는 범위 외",contract_compliance_performance_reports,N/A,계약 즉시 지급된 수수료의 비즈니스 타당성에 대한 정성적 법률 검증 영역,보류,HOLD
AB-10,Training Trip Junket,Registered,Unimplemented,E,"급행 수수료(뇌물) 판별을 위한 주관적 법적 검토, 현장 금고 물리 대조 및 출장 목적 정성 평가는 범위 외","travel_itinerary_details_text, official_meeting_agendas",N/A,공무원 출장 지원 비용의 비즈니스 연관성에 대한 컴플라이언스 정성 판단 영역,보류,HOLD
